Age,Salary
20,25000
21,30000
22,35000
23,32000
24,27000
25,25000
26,30000
27,35000
28,32000
29,27000
30,36000
40,25000
41,30000
42,35000
43,32000
44,27000
45,25000
46,30000
47,35000
48,32000
49,27000
50,36000
60,25000
61,30000
62,35000
63,32000
64,27000
65,25000
66,30000
67,35000
68,32000
69,27000
70,36000
21,25000
22,30000
23,35000
24,32000
25,27000
26,25000
27,30000
28,35000
29,32000
30,27000
40,36000
41,25000
42,30000
43,35000
44,32000
45,27000
46,25000
47,30000
48,35000
49,32000
50,27000
60,36000
61,25000
62,30000
63,35000
64,32000
65,27000
66,25000
67,30000
68,35000
69,32000
70,27000
20,36000
20,27000
21,36000
22,25000
23,30000
24,35000
25,32000
26,27000
27,25000
28,30000
29,35000
30,32000
40,27000
41,36000
42,25000
43,30000
44,35000
45,32000
46,27000
47,25000
48,30000
49,35000
50,32000
60,27000
61,36000
62,25000
63,30000
64,35000
65,32000
66,27000
67,25000
68,30000
69,35000
70,32000
21,27000
22,36000
23,25000
24,30000
25,35000
26,32000
27,27000
28,25000
29,30000
30,35000
40,32000
41,27000
42,36000
43,25000
44,30000
45,35000
46,32000
47,27000
48,25000
49,30000
50,35000
60,32000
61,27000
62,36000
63,25000
64,30000
65,35000
66,32000
67,27000
68,25000
69,30000
70,35000
20,32000
20,27000
21,30000
22,34000
23,32000
24,27000
25,27000
26,30000
27,34000
28,32000
29,27000
30,36000
40,27000
41,30000
42,34000
43,32000
44,27000
45,27000
46,30000
47,34000
48,32000
49,27000
50,36000
60,27000
61,30000
62,34000
63,32000
64,27000
65,27000
66,30000
67,34000
68,32000
69,27000
70,36000
21,27000
22,30000
23,34000
24,32000
25,27000
26,27000
27,30000
28,34000
29,32000
30,27000
40,36000
41,27000
42,30000
43,34000
44,32000
45,27000
46,27000
47,30000
48,34000
49,32000
50,27000
60,36000
61,27000
62,30000
63,34000
64,32000
65,27000
66,27000
67,30000
68,34000
69,32000
70,27000
20,36000
20,27000
21,36000
22,27000
23,30000
24,34000
25,32000
26,27000
27,27000
28,30000
29,34000
30,32000
40,27000
41,36000
42,27000
43,30000
44,34000
45,32000
46,27000
47,27000
48,30000
49,34000
50,32000
60,27000
61,36000
62,27000
63,30000
64,34000
65,32000
66,27000
67,27000
68,30000
69,34000
70,32000
21,27000
22,36000
23,27000
24,30000
25,34000
26,32000
27,27000
28,27000
29,30000
30,34000
40,32000
41,27000
42,36000
43,27000
44,30000
45,34000
46,32000
47,27000
48,27000
49,30000
50,34000
60,32000
61,27000
62,36000
63,27000
64,30000
65,34000
66,32000
67,27000
68,27000
69,30000
70,34000
20,32000
20,25000
21,30000
22,35000
23,32000
24,29000
25,25000
26,30000
27,35000
28,32000
29,29000
30,28000
40,25000
41,30000
42,35000
43,32000
44,29000
45,25000
46,30000
47,35000
48,32000
49,27000
50,28000
60,25000
61,30000
62,35000
63,32000
64,27000
65,25000
66,30000
67,35000
68,32000
69,27000
70,28000
21,25000
22,30000
23,35000
24,32000
25,27000
26,25000
27,30000
28,35000
29,32000
30,27000
40,28000
41,25000
42,30000
43,35000
44,32000
45,27000
46,25000
47,30000
48,35000
49,32000
50,27000
60,28000
61,25000
62,30000
63,35000
64,32000
65,27000
66,25000
67,30000
68,35000
69,32000
70,27000
20,28000
20,27000
21,36000
22,25000
23,30000
24,35000
25,32000
26,27000
27,25000
28,30000
29,35000
30,32000
40,27000
41,36000
42,25000
43,30000
44,35000
45,32000
46,27000
47,25000
48,30000
49,35000
50,32000
60,27000
61,36000
62,25000
63,30000
64,35000
65,32000
66,27000
67,25000
68,30000
69,35000
70,32000
21,27000
22,36000
23,25000
24,30000
25,35000
26,32000
27,27000
28,25000
29,30000
30,35000
40,32000
41,27000
42,36000
43,25000
44,30000
45,35000
46,32000
47,27000
48,25000
49,30000
50,35000
60,32000
61,27000
62,36000
63,25000
64,30000
65,35000
66,32000
67,27000
68,25000
69,30000
70,35000
20,32000
20,27000
21,30000
22,34000
23,32000
24,27000
25,27000
26,30000
27,34000
28,32000
29,27000
30,36000
40,27000
41,30000
42,34000
43,32000
44,27000
45,27000
46,30000
47,34000
48,32000
49,27000
50,36000
60,27000
61,30000
62,34000
63,32000
64,27000
65,27000
66,30000
67,34000
68,32000
69,27000
70,36000
21,27000
22,30000
23,34000
24,32000
25,27000
26,27000
27,30000
28,34000
29,32000
30,27000
40,36000
41,27000
42,30000
43,34000
44,32000
45,27000
46,27000
47,30000
48,34000
49,32000
50,27000
60,36000
61,27000
62,30000
63,34000
64,32000
65,27000
66,27000
67,30000
68,34000
69,32000
70,27000
20,36000
20,27000
21,36000
22,27000
23,30000
24,34000
25,32000
26,27000
27,27000
28,30000
29,34000
30,32000
40,27000
41,36000
42,27000
43,30000
44,34000
45,32000
46,27000
47,27000
48,30000
49,34000
50,32000
60,27000
61,36000
62,27000
63,30000
64,34000
65,32000
66,27000
67,29000
68,30000
69,34000
70,32000
21,29000
22,36000
23,29000
24,30000
25,34000
26,32000
27,29000
28,29000
29,30000
30,34000
40,32000
41,29000
42,36000
43,29000
44,30000
45,34000
46,32000
47,29000
48,29000
49,30000
50,34000
60,32000
61,29000
62,36000
63,29000
64,30000
65,34000
66,32000
67,29000
68,29000
69,30000
70,34000
20,32000
